PCTNAME	MCDNAME	COUNTYNAME	TOTVOTING	USPRSR	USPRSDFL	USPRSTOTAL	pct_usprsr_2012	pct_usprsd_2012	victory_margin_2012
AITKIN	Aitkin	Aitkin	986	465	478	971	47.89	49.23	-1
AITKIN TWP	Aitkin Twp	Aitkin	513	312	190	508	61.42	37.4	24
BALL BLUFF TWP	Ball Bluff Twp	Aitkin	174	78	91	173	45.09	52.6	-8
BALSAM TWP	Balsam Twp	Aitkin	23	11	12	23	47.83	52.17	-4
BEAVER TWP	Beaver Twp	Aitkin	43	13	29	42	30.95	69.05	-38
CLARK TWP	Clark Twp	Aitkin	94	35	55	94	37.23	58.51	-21
CORNISH TWP	Cornish Twp	Aitkin	24	10	12	24	41.67	50	-8
UNORG 47-24 (DAVIDSON UNORG)	Davidson Unorganized	Aitkin	24	9	15	24	37.5	62.5	-25
FARM ISLAND TWP	Farm Island Twp	Aitkin	741	387	329	732	52.87	44.95	8
FLEMING TWP	Fleming Twp	Aitkin	219	115	97	218	52.75	44.5	8
GLEN TWP	Glen Twp	Aitkin	307	155	146	302	51.32	48.34	3
HAUGEN TWP	Haugen Twp	Aitkin	109	49	57	109	44.95	52.29	-7
HAZELTON TWP	Hazelton Twp	Aitkin	534	261	264	530	49.25	49.81	-1
HILL CITY	Hill City	Aitkin	260	106	145	260	40.77	55.77	-15
HILL LAKE TWP	Hill Lake Twp	Aitkin	238	102	129	238	42.86	54.2	-11
IDUN TWP	Idun Twp	Aitkin	120	59	58	119	49.58	48.74	1
JEVNE TWP	Jevne Twp	Aitkin	159	86	70	158	54.43	44.3	10
UNORG 45-24 (JEWETT UNORG)	Jewett Unorganized	Aitkin	21	13	8	21	61.9	38.1	24
KIMBERLY TWP	Kimberly Twp	Aitkin	111	60	46	109	55.05	42.2	13
LAKESIDE TWP	Lakeside Twp	Aitkin	305	154	145	303	50.83	47.85	3
LEE TWP	Lee Twp	Aitkin	31	18	10	29	62.07	34.48	28
LIBBY TWP E	Libby Twp	Aitkin	20	14	6	20	70	30	40
LIBBY TWP W	Libby Twp	Aitkin	16	5	10	16	31.25	62.5	-31
LOGAN TWP	Logan Twp	Aitkin	105	44	56	104	42.31	53.85	-12
MCGRATH	Mcgrath	Aitkin	32	16	12	29	55.17	41.38	14
MCGREGOR	Mcgregor	Aitkin	151	58	87	149	38.93	58.39	-19
MCGREGOR TWP	Mcgregor Twp	Aitkin	47	24	18	47	51.06	38.3	13
MACVILLE TWP	Macville Twp	Aitkin	105	49	48	103	47.57	46.6	1
MILLWARD TWP	Millward Twp	Aitkin	30	13	17	30	43.33	56.67	-13
MALMO TWP	Malmo Twp	Aitkin	225	108	112	221	48.87	50.68	-2
MORRISON TWP	Morrison Twp	Aitkin	110	64	42	110	58.18	38.18	20
NORDLAND TWP	Nordland Twp	Aitkin	665	346	312	664	52.11	46.99	5
PALISADE	Palisade	Aitkin	85	37	45	83	44.58	54.22	-10
PLINY TWP	Pliny Twp	Aitkin	46	35	9	46	76.09	19.57	57
RICE RIVER TWP	Rice River Twp	Aitkin	85	50	34	85	58.82	40	19
SALO TWP	Salo Twp	Aitkin	47	14	33	47	29.79	70.21	-40
SEAVEY TWP	Seavey Twp	Aitkin	36	24	11	36	66.67	30.56	36
SHAMROCK TWP	Shamrock Twp	Aitkin	712	333	368	707	47.1	52.05	-5
SPALDING TWP	Spalding Twp	Aitkin	120	33	79	118	27.97	66.95	-39
SPENCER TWP	Spencer Twp	Aitkin	341	196	134	340	57.65	39.41	18
TAMARACK	Tamarack	Aitkin	30	15	14	30	50	46.67	3
TURNER TWP	Turner Twp	Aitkin	104	53	50	104	50.96	48.08	3
VERDON TWP	Verdon Twp	Aitkin	37	19	16	36	52.78	44.44	8
WAGNER TWP	Wagner Twp	Aitkin	210	101	99	208	48.56	47.6	1
WAUKENABO TWP	Waukenabo Twp	Aitkin	204	98	98	204	48.04	48.04	0
WEALTHWOOD TWP	Wealthwood Twp	Aitkin	201	82	116	199	41.21	58.29	-17
WHITE PINE TWP	White Pine Twp	Aitkin	25	14	10	25	56	40	16
WILLIAMS TWP	Williams Twp	Aitkin	67	33	32	67	49.25	47.76	1
WORKMAN TWP	Workman Twp	Aitkin	119	61	55	119	51.26	46.22	5
NE AITKIN UNORG	Northeast Aitkin Unorganized	Aitkin	29	17	10	29	58.62	34.48	24
UNORG 48-27 (BLIND LAKE UNORG)	Northwest Aitkin Unorganized	Aitkin	19	8	11	19	42.11	57.89	-16
NW AITKIN UNORG P-2	Northwest Aitkin Unorganized	Aitkin	76	29	43	76	38.16	56.58	-18
UNORG 51-27 (LEMAY UNORG)	Northwest Aitkin Unorganized	Aitkin	30	14	16	30	46.67	53.33	-7
NW AITKIN UNORG P-1	Northwest Aitkin Unorganized	Aitkin	54	28	23	54	51.85	42.59	9
ANDOVER P-1	Andover	Anoka	1999	1235	705	1980	62.37	35.61	27
ANDOVER P-2	Andover	Anoka	1884	1103	732	1880	58.67	38.94	20
ANDOVER P-3	Andover	Anoka	2217	1244	924	2210	56.29	41.81	14
ANDOVER P-4	Andover	Anoka	1636	880	705	1624	54.19	43.41	11
ANDOVER P-5	Andover	Anoka	2070	1304	725	2063	63.21	35.14	28
ANDOVER P-6	Andover	Anoka	1552	934	572	1544	60.49	37.05	23
ANDOVER P-7	Andover	Anoka	1439	867	549	1436	60.38	38.23	22
ANDOVER P-8	Andover	Anoka	1700	1003	663	1696	59.14	39.09	20
ANDOVER P-9	Andover	Anoka	1723	1054	634	1712	61.57	37.03	25
ANDOVER P-10	Andover	Anoka	2146	1224	877	2140	57.2	40.98	16
ANOKA P-1	Anoka	Anoka	880	360	481	873	41.24	55.1	-14
ANOKA P-2	Anoka	Anoka	1216	555	612	1213	45.75	50.45	-5
ANOKA P-3	Anoka	Anoka	1230	612	585	1229	49.8	47.6	2
ANOKA P-4	Anoka	Anoka	1156	504	621	1151	43.79	53.95	-10
ANOKA P-5	Anoka	Anoka	1104	506	568	1099	46.04	51.68	-6
ANOKA P-6	Anoka	Anoka	1020	386	588	1016	37.99	57.87	-20
ANOKA P-7	Anoka	Anoka	1186	570	582	1184	48.14	49.16	-1
ANOKA P-8	Anoka	Anoka	1134	583	518	1133	51.46	45.72	6
BETHEL P-1	Bethel	Anoka	268	144	109	265	54.34	41.13	13
BLAINE W-1 P-1	Blaine	Anoka	1315	527	763	1315	40.08	58.02	-18
BLAINE W-1 P-2	Blaine	Anoka	1453	628	785	1447	43.4	54.25	-11
BLAINE W-1 P-3	Blaine	Anoka	1198	509	647	1189	42.81	54.42	-12
BLAINE W-1 P-4	Blaine	Anoka	907	384	480	902	42.57	53.22	-11
BLAINE W-1 P-5	Blaine	Anoka	1849	889	918	1843	48.24	49.81	-2
BLAINE W-1 P-6	Blaine	Anoka	1067	558	482	1065	52.39	45.26	7
BLAINE W-1 P-7	Blaine	Anoka	1055	499	519	1049	47.57	49.48	-2
BLAINE W-1 P-8	Blaine	Anoka	1197	577	585	1194	48.32	48.99	-1
BLAINE W-2 P-1	Blaine	Anoka	1201	522	647	1198	43.57	54.01	-10
BLAINE W-2 P-2A	Blaine	Anoka	1151	540	585	1145	47.16	51.09	-4
BLAINE W-2 P-2B	Blaine	Anoka	1380	612	733	1377	44.44	53.23	-9
BLAINE W-2 P-3	Blaine	Anoka	1349	558	762	1343	41.55	56.74	-15
BLAINE W-2 P-4A	Blaine	Anoka	1564	743	794	1558	47.69	50.96	-3
BLAINE W-2 P-4B	Blaine	Anoka	1300	695	569	1291	53.83	44.07	10
BLAINE W-2 P-5	Blaine	Anoka	1111	664	417	1107	59.98	37.67	22
BLAINE W-2 P-6	Blaine	Anoka	1863	1082	755	1860	58.17	40.59	18
BLAINE W-3 P-1	Blaine	Anoka	1378	577	749	1376	41.93	54.43	-12
BLAINE W-3 P-2	Blaine	Anoka	1407	646	708	1404	46.01	50.43	-4
BLAINE W-3 P-3	Blaine	Anoka	1456	640	772	1453	44.05	53.13	-9
BLAINE W-3 P-4	Blaine	Anoka	1717	820	849	1713	47.87	49.56	-2
BLAINE W-3 P-5	Blaine	Anoka	1431	676	725	1426	47.41	50.84	-3
BLAINE W-3 P-6	Blaine	Anoka	2037	1121	861	2029	55.25	42.43	13
BLAINE W-3 P-7	Blaine	Anoka	2048	1008	1000	2044	49.32	48.92	0
BLAINE W-3 P-8	Blaine	Anoka	443	266	168	443	60.05	37.92	22
CENTERVILLE P-1	Centerville	Anoka	2227	1275	906	2221	57.41	40.79	17
CIRCLE PINES P-1	Circle Pines	Anoka	1169	520	610	1168	44.52	52.23	-8
CIRCLE PINES P-2	Circle Pines	Anoka	1984	920	1017	1977	46.54	51.44	-5
COLUMBIA HEIGHTS P-1	Columbia Heights	Anoka	1545	409	1087	1541	26.54	70.54	-44
COLUMBIA HEIGHTS P-2	Columbia Heights	Anoka	1266	362	860	1266	28.59	67.93	-39
COLUMBIA HEIGHTS P-3	Columbia Heights	Anoka	1260	351	866	1253	28.01	69.11	-41
COLUMBIA HEIGHTS P-4	Columbia Heights	Anoka	1263	386	842	1257	30.71	66.98	-36
COLUMBIA HEIGHTS P-5	Columbia Heights	Anoka	1259	421	792	1248	33.73	63.46	-30
COLUMBIA HEIGHTS P-6	Columbia Heights	Anoka	1120	447	640	1114	40.13	57.45	-17
COLUMBIA HEIGHTS P-7	Columbia Heights	Anoka	1235	365	830	1234	29.58	67.26	-38
COLUMBIA HEIGHTS P-8	Columbia Heights	Anoka	1152	375	746	1149	32.64	64.93	-32
COLUMBUS P-1	Columbus	Anoka	2519	1469	985	2510	58.53	39.24	19
COON RAPIDS W-1 P-1	Coon Rapids	Anoka	2392	1252	1086	2382	52.56	45.59	7
COON RAPIDS W-1 P-2	Coon Rapids	Anoka	2166	1163	966	2160	53.84	44.72	9
COON RAPIDS W-1 P-3	Coon Rapids	Anoka	1696	811	825	1687	48.07	48.9	-1
COON RAPIDS W-1 P-4	Coon Rapids	Anoka	1128	543	547	1123	48.35	48.71	0
COON RAPIDS W-2 P-1	Coon Rapids	Anoka	1714	836	858	1712	48.83	50.12	-1
COON RAPIDS W-2 P-2	Coon Rapids	Anoka	1173	596	548	1172	50.85	46.76	4
COON RAPIDS W-2 P-3	Coon Rapids	Anoka	1882	918	921	1879	48.86	49.02	0
COON RAPIDS W-2 P-4	Coon Rapids	Anoka	1164	536	579	1157	46.33	50.04	-4
